gstp1
gm10076
mafb
slc25a47
ly6e
rpl9-ps6
hamp2
ftcd
ttr
serpina3c
vtn
cdh1
c9
etnk2
zfp36l1
aqp9
ak4
rapgef4
amdhd1
akr1c14
phyh
rpl23a-ps3
serpinf2
ehhadh
gm10263
igfbp4
ddc
noct
hsd11b1
elovl6
fmo1
man2a1
afm
ugt2b35
ugt2b34
slc37a4
mtss1
slc16a12
s100a10
rpl6l
il6ra
ddt
id3
slc9a3r1
pdia3
il1rap
cdk2ap2
cml1
hsd17b4
gm2788
gne
pim3
slc25a13
fbxo21
dnajb11
mgll
c1s1
ppib
bst2
c8g
pfkfb3
trp53inp2
ndrg2
camk2n1
ubxn4
enpp2
hlf
slc25a10
gfra1
anp32a
camk1d
foxo1
ptp4a2
anxa7
sqle
lgals9
stra6l
map2k3
fgf1
dbt
dst
homer2
ubb
d17wsu92e
clmn
proc
oaz1
haao
march8
naa50
sult1a1
tfrc
slc35d1
aco2
eif4b
lurap1l
stard7
cnppd1
scarb2
deptor
mia3
dmgdh
gm6576
per3
fech
ttc39c
ogdh
slc39a14
prpsap1
jade1
bckdha
uso1
hacd3
slc10a2
azin1
rnf5
serinc3
narf
zranb2
pnpla8
xbp1
top1
gck
lpgat1
uri1
kpnb1
tm4sf4
spcs2
fam47e
foxa2
hes6
hadh
gpx4
eif5
irf7
srpr
wwp1
pecr
dapk1
sirt3
csde1
cox7a2l
sar1b
edem1
mut
nus1
cry1
dennd5b
ero1lb
1600002h07rik
tapbp
lap3
rbms1
zfp385b
gm5093
rsad2
cmtm8
plcxd2
suds3
tmem147
1810055g02rik
ndufaf4
ddb1
foxo3
dlc1
cml5
aox1
tram1
snrk
csnk1g3
as3mt
mapk14
epas1
glo1
pomp
fahd1
ddah1
aspdh
pnkd
srd5a1
nceh1
rbfa
psma1
1110008f13rik
naa60
dcxr
nit2
kif21a
pcmtd1
dus1l
wdr26
kdelr2
etf1
nlrp12
copb2
pcsk4
pex5
selk
psme1
tmem57
mafg
crip2
trabd
cd82
hmgn1
tango2
atp6v1e1
cers2
cpeb2
cd47
asgr1
cmas
cry2
shb
nbr1
gm18025
dhx9
pgap1
irgm1
rrs1
trip4
gm8883
vdac1
sidt2
arfgef1
rpl21-ps4
mpst
per1
nedd4
ulk2
dtnbp1
snrpf
cs
ubr2
reep3
sgms2
agmo
chmp1a
fam102a
ap2s1
hook1
chchd3
epb41l4b
ppp1r2
tmem86b
fam134c
epb41
gale
clic4
gstt2
s1pr1
flnb
grina
gpd2
foxn3
zfp91
slc25a37
psme4
myo18a
lss
rb1cc1
slc25a20
cdip1
fam195a
ahcyl2
akap13
idh3a
mrps16
vav2
snrpg
gltpd2
rhbdd2
prodh2
hoga1
b230219d22rik
rab11b
fh1
zfp395
ubald2
mrpl28
vegfa
slc30a9
npepl1
mvd
sept2
st3gal1
eaf1
dusp3
dnajc21
cobll1
nr5a2
mrpl23
zbtb7a
txndc5
pi4k2b
atp6v1c1
metap2
smim10l1
gfm1
txndc15
gle1
