tubb2a
rpl10-ps3
usp2
aacs
gpt2
nr1d2
rpl10
mt-nd2
sdf2l1
hsph1
ubc
gpat4
dhrs3
fkbp4
klf13
mcm10
hspa4l
magt1
hdgf
ppp1r15b
wdtc1
st5
xpot
prkaa2
srm
klf3
atg101
rtp3
dnajc5
park7
sec14l4
gm10320
tnfaip2
abce1
usf2
pitpnc1
per2
fis1
d230025d16rik
ybx1
slc31a1
ddx50
dctn2
slc17a3
spcs3
yipf5
slc25a22
fam76a
bcar3
stim2
abcb6
coa5
fgfrl1
smim7
ndufs8
1500026h17rik
bc004004
ubxn6
mlx
ube2l6
naprt
vkorc1l1
nfx1
mreg
tnpo3
hs6st1
kpna1
tbc1d20
ola1
nabp1
golga4
lrrfip2
iars
usp4
sh3pxd2a
b4galt1
acbd6
usp47
tcp1
mtmr4
thrap3
ube2j2
macrod1
ip6k1
vps13a
zfand2b
cttn
slc9a8
b3galnt2
pex26
cdc37
ppp1r10
hmox2
mthfr
tcaim
tjp3
cep85
azi2
ap2b1
wdr43
saysd1
nudcd3
rab4a
spc25
gtf2h1
adck4
map3k7
ankrd27
zhx3
eif2b1
ai661453
alkbh7
pom121
npas2
ago2
tet3
crebzf
tnfaip1
aspa
coq2
tpd52
mrps2
cdkn2aipnl
trappc11
sdhaf2
lats2
uvrag
carnmt1
ank
nudt3
adrbk1
srd5a3
tax1bp3
thumpd3
exosc1
scfd1
micu1
anxa11
pitrm1
mtmr1
tarbp2
gskip
utp11l
stx7
tpgs1
mvp
brpf3
e130012a19rik
rnaseh2a
naa16
miip
pum3
maml1
sp3os
pstk
oma1
lmbr1l
aip
ubtd1
mtx3
apex2
ccne1
cd2bp2
plet1
dbf4
mrpl47
tbc1d10a
pdlim7
dock6
gm8909
cdcp1
ice1
gm17586
wdr41
entpd7
