oat
glul
cyp2a5
lpin1
elovl3
mt1
slc1a2
pck1
cyp2c54
cyp4a10
aldh3a2
upp2
cyp7a1
etnppl
por
slc7a2
hsp90aa1
rnase4
hsd17b6
gpcpd1
thrsp
dbp
aqp8
slc22a1
chka
apoa1
sds
hspa5
st3gal5
gm11808
pon1
cyp4a14
acly
gsta3
alas1
clpx
serpina1e
insig2
akr1c6
slc38a3
fmo5
car3
aldob
fasn
gstm6
cpt1a
arg1
slc2a2
1810058i24rik
gldc
gstm2
mt2
nampt
manf
rpl27-ps3
wdr89
psen2
got1
mat1a
adck3
slc38a2
fgb
gm10269
lpin2
neat1
tef
cdo1
rgs16
mt-nd4l
gm5096
herpud1
bnip3
dnaja1
eci2
sord
nrn1
fau
g0s2
id2
coq10b
bhmt
cyp4a12a
uox
gch1
nr1i3
pah
serpina1b
mfsd2a
errfi1
gm10036
apoc3
hist1h1c
gm2000
junb
aspg
rpl27
leap2
rps12-ps3
agxt
egr1
efna1
gm5239
serpina1d
ugp2
gstm3
serpina1c
tdo2
gm7808
gm17430
hsp90b1
pnrc1
entpd5
abcc2
nnmt
rps18-ps3
ptp4a1
nrep
acox1
elovl5
paqr9
saa1
ost4
rps12
gm6525
tkfc
insig1
igf1
chchd10
ppp1r3c
sult2a8
chpt1
fabp5
gabarapl1
hmgcr
abcb4
gys2
cldn1
khk
fads1
atp1a1
hspe1
slc38a4
sult1d1
hpgd
cfh
rcl1
bri3
c6
mt-nd3
dgat2
serpina1a
rpl13-ps3
tlcd2
cbs
pnp
slco2a1
gnmt
creld2
uqcr11
cyp2c70
hacl1
osgin1
abcg8
pex11a
atp1b1
aox3
gc
odc1
tsc22d3
hist1h2bc
coa6
pdia6
tmem56
h2afj
baat
ces1d
cfhr2
iqgap2
bc005537
cib3
acaa1a
keg1
gm5426
apol9b
plin2
sdc1
cxadr
mt-cytb
mettl20
fkbp5
acot1
cxcl1
dnajb6
hsd3b5
rpl24
slc25a51
tuba4a
sigmar1
gm9843
atf5
serpina7
mcfd2
gltscr2
rpl36-ps3
cyp2d9
agpat2
tst
gjb1
n4bp2l1
atp2a2
bdh1
scamp1
adhfe1
acsl1
pmvk
sdhd
alad
angptl4
slc40a1
slc27a2
ctnnbip1
dnajc3
fxyd1
ubxn1
angptl3
pcbp2
mal2
tmed5
mt-co2
syvn1
slco1a4
cox20
alcam
ethe1
hsd17b2
rplp1
pxmp4
fdps
rpl13a-ps1
gm14403
pxdc1
lhpp
smarca2
serp1
fcgrt
mmd
1600014c10rik
arhgef26
fam134b
tars
rorc
dpyd
pygl
gm9493
rnf125
slc10a1
mid1ip1
gde1
abcb11
ugt2b38
zfos1
decr2
ppa1
akr1c19
zfand6
sec61g
rxra
ak2
hmgcs2
ttpa
comt
bet1
stard5
rps26-ps1
fos
cyb5b
gm10250
acaca
pptc7
gpx1
slco1a1
hmgcl
serpina6
gda
rps13
gdap10
slc30a10
tle1
slc17a2
ctsb
klf15
ulk1
ap3m1
gpd1
efhd2
npc1
bbox1
dhcr24
cebpa
akr7a5
cxcl12
wbp1l
cyp2d40
acsm3
prkd3
nfix
ai182371
krtcap2
kat2b
rcbtb1
mknk2
clec2h
gm8730
dld
eef2
tmem238
aass
b2m
sel1l
gm10260
scand1
idh1
fpgs
eps8l2
cox6a1
col27a1
sco2
rpl11
dio1
ppm1a
pdxk
etfb
abcd3
bnip3l
lrrc58
pklr
plxna2
slc4a4
foxa3
pik3r1
sucnr1
ypel3
grhpr
lman1
tardbp
prdx6
c4bp
hsd17b11
cpn2
tubb5
rpl7a-ps5
tfpi2
ssr3
ay036118
acadm
agt
avpr1a
hspd1
zfp787
gamt
psmd4
tcf25
acot12
hadhb
actb
grn
fam107b
tspan4
kif1b
abcg5
plbd2
nr0b2
slc26a1
serping1
btg1
qprt
cryl1
2610507b11rik
ubl5
nfic
abca8a
fermt2
ugt2b5
mbl1
gns
h2-ke6
mat2a
caprin1
gnas
celf2
mrap
acsf2
gm4952
brap
tmem176b
rps7
creg1
mt-co3
rab1a
etnk1
serinc1
fitm2
pcbd2
cmbl
abhd17c
rpl36al
hfe2
4833439l19rik
chuk
tomm7
slc33a1
snx10
ctage5
larp4b
pdhb
sep15
ifi27
pde3b
tfg
dcun1d1
pglyrp2
rpl35a
gna12
cpn1
arf3
atp5f1
txnip
kng2
psmb3
susd6
osbpl9
gdi2
slc8b1
ttc38
gm8973
tns1
sec31a
slc35g1
nucks1
nr1d1
cdv3
ostc
hsdl2
zfpm1
d15ertd621e
pbld2
prkacb
mif
slc35b1
adh5
sec11c
sox9
ergic2
lrrc28
lasp1
mocs1
ube2e2
gstm4
jun
btg2
slc25a1
vnn1
dpy19l1
ddx17
gclc
dph3
slc41a2
cnbp
irgm2
wdr45b
pebp1
nudt7
dnaja3
itch
mdh1
abhd6
fam134a
sgpl1
trim2
aco1
hmgb1
gss
smoc1
ebpl
fnip1
bc029214
hspa9
aqp11
kcnk5
vdac2
nadk
egln2
4732465j04rik
mbnl2
mbl2
arl1
h2-q10
osbpl1a
canx
cd302
arf5
bpnt1
lsm6
lipg
alkbh5
rplp2
ahsa2
sgk2
nfil3
hpn
tmed9
glrx
lgalsl
nrg4
sec23b
acsl4
rock1
agxt2
ndufs7
pid1
gcdh
actg1
fbxo31
pcyox1
tmem33
urah
txnrd1
rps26
rnf10
pik3c2a
lars2
pcyt2
car14
slc19a2
smim19
hjurp
zranb1
pgm2
ywhag
arntl
klhdc3
ralgapa2
bag3
0610011f06rik
nr1i2
rps11
nrp1
rdh11
rnf152
dsg2
desi1
rhou
chmp2a
tgm2
rbm25
lonp2
bzw1
higd2a
acads
uqcrh
acadl
ltbr
cpb2
rap2a
wsb1
fam126b
d1ertd622e
adora1
smagp
lrp1
h2afv
nudcd2
uqcrq
zwint
cacybp
gm16573
arl5a
abhd17b
mydgf
slc16a1
klhl21
aldoa
inhba
hnrnpdl
ap2m1
fam104a
eif4g1
ifrd1
npr2
klkb1
spin1
wwc1
fgl1
mrpl34
srsf1
ndrg1
cyp3a41b
wrnip1
sqrdl
cyp2c44
gk
scp2
gm6133
rbm3
insc
mfsd1
ebp
fam96a
hipk3
usp25
cp
bfar
hspa8
slc22a30
cyp2d10
lrrc59
crp
ppargc1a
nudt4
ypel2
lrpprc
pnpla2
mmp15
ier3ip1
adam9
pcyt1a
set
dcaf8
sdr9c7
cgn
fbxo9
slc25a3
sec23a
susd4
psma3
ahctf1
apol7a
clock
slc6a9
sept9
slc20a1
klhl24
krcc1
mttp
atp5d
cideb
gstz1
gtpbp4
slc46a3
osbp
arcn1
pgk1-rs7
esrra
csrp3
rnpepl1
sdsl
atp5g3
slc35e2
gjb2
sh3glb1
litaf
helz2
lactb2
slc44a1
acat3
ubl3
csrnp1
st3gal4
cdkn1a
ubqln1
nmrk1
cyp3a44
st3gal3
pter
slc16a2
snx3
emd
pigt
bcl7c
abhd5
ciart
tlr12
zfr
pex6
mfhas1
chic2
riok3
fam160b1
desi2
psmc3
nav2
npm1
il13ra1
march5
cdk18
tacc1
akr1a1
gng5
samm50
rab7
klf9
slmo2
abcd2
tor1b
uqcrfs1
cltc
nr4a1
cyp2j6
ppp3ca
aspscr1
mylk
fam13a
cgnl1
paox
smim14
cldn3
nploc4
adi1
tomm20
nisch
rcan1
ddx6
tbc1d15
pdlim5
slc25a44
il15ra
srp54b
p2rx4
1190002n15rik
tmem248
lims2
smek1
mpp1
synj2bp
deb1
pla2g12a
slmap
ganab
tmem150a
psmb8
spr
rsrp1
picalm
ipo7
lin7c
arpc2
adh1
ptma
dsc2
hspb1
h2-q1
cwc15
decr1
gm11967
cenpb
rac1
psmb7
ndufa6
trpm7
fus
ift20
map1lc3a
pja2
slc3a1
slc45a3
rheb
ablim1
iyd
dclre1a
cyhr1
arglu1
ccnl1
ppat
gm10709
tmpo
eif4ebp1
lyrm9
setd3
fmo2
rnf14
baiap2l1
rnf169
rbpms
tgoln1
sumo1
mcur1
b4galt5
rps6kb1
cyth1
tab2
tmcc1
rdh7
pvrl1
diaph2
calm1
tsc22d2
cst3
pcbp1
matr3
sacm1l
ninj1
tprkb
atp6v0d1
plpp2
pdia5
glyr1
jak1
limd2
ahnak
net1
chn2
cisd1
ube2g2
sap30l
mapre2
uba1
gdf15
zcchc11
rps2-ps6
march2
fam35a
ccs
clptm1
prdx3
mfn1
mbd1
gabarap
crk
pkn2
mien1
trim25
dcaf11
clip1
nsun2
tmem120a
2310039h08rik
txndc11
myo10
rnf7
kifc3
mpdu1
gm9803
r3hdm2
tmem63b
nek7
trim24
ctdsp2
l7rn6
