cyp2e1
cyp2c29
cyp2f2
cyp2c50
cyp1a2
cyp2c37
rgn
pigr
hsd17b13
gulo
hal
csad
gls2
slco1b2
cyp3a11
hpx
aldh1a1
sfxn1
lect2
acaa1b
ass1
uroc1
alb
mug2
cyp2c67
gstm1
blvrb
fitm1
serpina12
cps1
lpl
fbp1
gm2a
tsc22d1
apoa4
cyb5a
aldh1b1
cyp4a12b
mgst1
ces3b
asl
serpind1
ctsc
elovl2
c8a
cyp2c68
cyp2c40
apoa5
gstt1
cpox
fam25c
sepp1
c3
itih3
itih4
cyp7b1
cyp2c69
ang
hpd
ugt2b1
cldn2
rdh16
trf
hc
c8b
hp
akr1c20
ahsg
hrsp12
ambp
plpp3
cml2
rarres1
tat
ccl9
fga
plg
chp1
serpinc1
aldh1l1
orm1
phldb2
cfi
atp5g1
foxq1
inmt
4931406c07rik
igfals
hsd17b10
gas2
arpp19
cyp2c38
igfbp2
wfdc21
qsox1
rmdn2
lgals1
kng1
hgfac
ahr
serpinf1
rps19
ugdh
f7
atp5a1
slc16a10
cd36
gm42418
rpl37
rpl36a
itih2
lamp1
fabp2
ces1g
rpl37a
frmd4b
abcc3
cyp27a1
prodh
apoc1
rpl36
apom
marc1
rpl18a
f10
tsku
selenbp2
st6gal1
slc22a7
abhd2
me1
prdx1
lsr
bc089597
rpl35
apoa2
rps15a
crot
mme
tmem243
hibadh
c2
abcg2
dhrs1
serpina3k
rps27l
vcp
rpl39
cebpb
rtn4
tex264
tbx3
ppm1k
c4b
mt-nd4
toporsos
h2-q7
aw112010
maob
cyp2u1
atox1
rarres2
fn1
rhbg
rpl32
nxpe2
cyp39a1
hmgcs1
spp1
gapdh
ccdc107
acat1
cib2
atp11c
ctsz
ece1
otc
aadac
ugt2b36
cyp4v3
ugt3a1
srebf1
sepw1
fgfr2
anapc13
gm4788
cela1
rps17
h2-d1
gsr
hprt
ran
2200002d01rik
ccbl1
gpi1
ldhd
tstd1
tmprss6
slc6a13
txndc17
sdhb
lbp
tubb4b
azgp1
h13
pcsk6
apof
dynlrb1
nfyb
rpl31
aars
gm5424
